key,section,en,hi,or,notes
nav.astrology,Navigation,Astrology,ज्योतिष,ଜ୍ୟୋତିଷ,
nav.tarot,Navigation,Tarot,टैरो,ଟାରୋ,
nav.numerology,Navigation,Numerology,अंकशास्त्र,ଅଙ୍କଶାସ୍ତ୍ର,
nav.crystals,Navigation,Crystals,क्रिस्टल,କ୍ରିଷ୍ଟାଲ୍,
nav.blog,Navigation,Blog,ब्लॉग,ବ୍ଲଗ୍,
nav.book_reading,Navigation,Book Reading,बुक करें,ବୁକ୍ କରନ୍ତୁ,
nav.logo_tagline,Navigation,Vedic · Tarot · Sacred,वैदिक · टैरो · पवित्र,ବୈଦିକ · ଟାରୋ · ପବିତ୍ର,Logo subtitle
hero.tagline,Hero,"Confused, Stuck, or Lost? The path is here.",उलझे हुए हैं? रास्ता यहाँ है।,"ବିଭ୍ରାନ୍ତ, ଅଟକି, କିମ୍ବା ହଜି ଯାଇଛନ୍ତି? ପଥ ଏଠାରେ।",
hero.subtitle,Hero,"Your stars hold the answer. Birth chart, Tarot and crystal energy — all in one place.","आपके सितारों में जवाब है। जन्मपत्री, टैरो और ऊर्जा — सब एक जगह।","ଆପଣଙ୍କ ତାରାମାନଙ୍କରେ ଉତ୍ତର ଅଛି। କୁଣ୍ଡଳୀ, ଟାରୋ ଓ ଶକ୍ତି — ସବୁ ଏକ ସ୍ଥାନରେ।",
hero.cta_primary,Hero,Book a Personal Reading,पर्सनल रीडिंग बुक करें,ବ୍ୟକ୍ତିଗତ ରିଡିଂ ବୁକ୍ କରନ୍ତୁ,
form.full_name,Forms,Full Name,पूरा नाम,ପୂରା ନାମ,
form.dob,Forms,Date of Birth,जन्म तिथि,ଜନ୍ମ ତାରିଖ,
form.tob,Forms,Time of Birth,जन्म समय,ଜନ୍ମ ସମୟ,
form.city,Forms,City of Birth,जन्म स्थान,ଜନ୍ମ ସ୍ଥାନ,
form.question,Forms,Your Question (optional),आपका प्रश्न (वैकल्पिक),ଆପଣଙ୍କ ପ୍ରଶ୍ନ (ଇଚ୍ଛାଧୀନ),
form.calculate_chart,Forms,🪐 Calculate My Vedic Chart,🪐 मेरी वैदिक कुंडली देखें,🪐 ମୋ ବୈଦିକ କୁଣ୍ଡଳୀ ଦେଖନ୍ତୁ,
section.services_title,Services,Sacred Services,पवित्र सेवाएँ,ପବିତ୍ର ସେବାସମୂହ,
section.services_desc,Services,Vedic astrology Tarot Numerology and sacred crystals — choose your path.,वैदिक ज्योतिष टैरो अंकशास्त्र और पवित्र क्रिस्टल — अपना मार्ग चुनें।,ବୈଦିକ ଜ୍ୟୋତିଷ ଟାରୋ ଅଙ୍କଶାସ୍ତ୍ର ଓ ପବିତ୍ର କ୍ରିଷ୍ଟାଲ୍ — ଆପଣଙ୍କ ମାର୍ଗ ବାଛନ୍ତୁ।,
section.tarot_title,Services,Draw Your Cards,अपने कार्ड चुनें,ଅପଣଙ୍କ କାର୍ଡ ବାଛନ୍ତୁ,
section.tarot_desc,Services,Jyogi's intuitive Tarot deck channels meditative energy and ancient wisdom.,जयोगी का सहज टैरो डेक ध्यान-ऊर्जा और प्राचीन ज्ञान का संचार करता है।,ଜୟୋଗୀଙ୍କ ସହଜ ଟାରୋ ଡେକ୍ ଧ୍ୟାନ-ଶକ୍ତି ଓ ପ୍ରାଚୀନ ଜ୍ଞାନ ସଞ୍ଚାର କରେ।,
section.chart_title,Services,Your Birth Chart,आपकी जन्म कुंडली,ଆପଣଙ୍କ ଜନ୍ମ କୁଣ୍ଡଳୀ,
section.chart_desc,Services,Enter your birth details for a complete sidereal Vedic chart.,पूर्ण वैदिक जन्मपत्री के लिए अपना जन्म विवरण दर्ज करें।,ସମ୍ପୂର୍ଣ୍ଣ ବୈଦିକ କୁଣ୍ଡଳୀ ପାଇଁ ଆପଣଙ୍କ ଜନ୍ମ ବିବରଣୀ ଦିଅନ୍ତୁ।,
section.compat_title,Services,Love & Relationship Match,प्रेम एवं संबंध मिलान,ପ୍ରେମ ଓ ସମ୍ପର୍କ ମିଳନ,
section.dreams_title,Services,Dream Journal,स्वप्न डायरी,ସ୍ୱପ୍ନ ଡାଏରୀ,
section.muhurta_title,Services,Muhurta — Lucky Days,मुहूर्त — शुभ दिन,ମୁହୂର୍ତ୍ତ — ଶୁଭ ଦିନ,
section.shop_title,Services,Crystal Bracelets,क्रिस्टल ब्रेसलेट,କ୍ରିଷ୍ଟାଲ୍ ବ୍ରେସଲେଟ୍,
section.how_title,Services,How a Session Works,सत्र कैसे होता है,ସେସନ୍ କିପରି ହୁଏ,
section.reviews_title,Services,They Were Exactly Where You Are,वे भी ठीक आपकी जगह थे,ସେମାନେ ମଧ୍ୟ ଠିକ୍ ଆପଣଙ୍କ ଜାଗାରେ ଥିଲେ,
section.gallery_title,Services,Divine Blessings,दिव्य आशीर्वाद,ଦିବ୍ୟ ଆଶୀର୍ବାଦ,
section.about_title,Services,The Person Behind Jyogi,जयोगी के पीछे का व्यक्ति,ଜୟୋଗୀଙ୍କ ପଛର ବ୍ୟକ୍ତି,
blog.section_title,Blog,Vedic Wisdom & Guides,वैदिक ज्ञान एवं मार्गदर्शिका,ବୈଦିକ ଜ୍ଞାନ ଓ ମାର୍ଗଦର୍ଶିକା,
